SMILES,HOMO energy (Hartree),LUMO energy (Hartree),HOMO-LUMO gap (Hartree),Dipole moment (Debye),Molecular volume (Å³),Error
CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],-0.10908575930218194,-0.0960444177591789,0.013041341543003043,28.962150547170157,351.2000000000001,
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)S(=O)(=O)[O-].[Na+],-0.1871544680263285,-0.15928484929282924,0.027869618733499274,22.09698019814285,253.88000000000005,
C1=CC=C(C=C1)C(=O)NO,-0.24217932301883419,-0.0443043222082957,0.1978750008105385,4.440178117913719,125.28000000000003,
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,-0.2565714139982923,-0.031758158296661405,0.2248132557016309,3.9908134552690133,158.75200000000004,
CCCCCCCCCCCCOP(=O)(O)O,-0.27539860179281384,-0.023825377388733634,0.2515732244040802,5.6527823527432774,273.20000000000005,
CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],-0.10422754801992282,-0.07106944496732959,0.03315810305259323,21.152338226774646,298.46400000000006,
CCCCCCCC(=O)NO,-0.23936294863623828,0.012376441334204189,0.2517393899704425,4.3601185641524856,172.11200000000005,
CCCCCC[C@H](C/C=C\CCCCCCCC(=O)O)O,-0.22873689752895437,-0.001083000973832344,0.22765389655512203,2.3524451688954726,332.0880000000001,
CNCC(=O)[O-].[Na+],-0.1747828258737863,-0.05403820554558724,0.12074462032819905,7.4818309219198715,93.69600000000003,
[O-][Si](=O)[O-].[Na+],,,,,,"Following atoms are too close: [(1, np.int64(4), np.float64(0.041512019343799694))]"
C(C(C(=O)O)S(=O)(=O)[O-])C(=O)O.[Na+],-0.27406340885224517,-0.1739557486342147,0.10010766021803047,8.88493327560579,152.61600000000004,
CCCCCCCCCCCCN,-0.22143415063387575,0.0687189849284004,0.2901531355622762,1.374793276892773,227.35200000000006,
